Application Date,Age,Annual Income,Credit Score,Employment Status,Experience,Loan Amount,Loan Duration,Home Ownership Status,Monthly Debt Payments,CreditCard Utilization Rate,Number Of Open CreditLines,Number Of CreditInquiries,Debt To Income Ratio,Bankruptcy History,Loan Purpose,Payment History,Length Of Credit History,Total Assets,Total Liabilities,Monthly Income,Job Tenure,Net Worth,Interest Rate,Monthly Loan Payment,Loan Approved,Risk Score
07/13/2029,33,74714,583,Employed,12,19401,108,Mortgage,394,0.124063217787157,2,1,0.131703045819859,0,Education,16,6,62518,7110,6226.16666666666,3,55408,0.23654747102656,435.308249002738,0,49
07/14/2029,49,38817,553,Employed,25,25057,36,Other,559,0.669582896293891,0,0,0.185930963138451,0,Debt Consolidation,16,23,97310,23869,3234.75,8,73441,0.271098927842668,1024.43524891507,0,51
07/15/2029,18,42795,554,Employed,0,34737,60,Mortgage,428,0.190684140151001,3,0,0.20822800250931,0,Auto,22,22,39234,22530,3566.25,10,16704,0.245105622138599,1009.63362396212,0,52
07/16/2029,40,48548,593,Self-Employed,18,20893,48,Rent,390,0.721955846932338,2,0,0.0380115015223176,0,Home,25,10,35477,17868,4045.66666666666,3,17609,0.190088953981203,624.801245616127,0,56
07/17/2029,46,177974,483,Employed,24,48603,12,Mortgage,244,0.108189839288188,4,1,0.306691936741029,0,Education,22,19,111745,30219,14831.1666666666,3,81526,0.27653040129602,4682.23409276719,1,39.2
07/18/2029,62,52962,602,Employed,38,24452,84,Own,335,0.152438703458369,2,1,0.260021143184748,0,Home,23,29,106543,10816,4413.5,5,95727,0.231841900551792,590.819727124714,0,46
07/19/2029,34,102960,504,Self-Employed,14,24626,36,Mortgage,782,0.35973895441795,1,0,0.112804249937645,0,Auto,27,5,195992,24746,8580,7,171246,0.261529873635295,994.204839207659,1,40
07/20/2029,43,81385,625,Employed,20,49258,72,Mortgage,169,0.290770702088688,3,1,0.31911957665344,0,Other,26,3,11125,10701,6782.08333333333,8,1656,0.252239778581715,1333.64939375431,0,53
07/21/2029,18,41354,603,Employed,0,51104,24,Mortgage,777,0.127706610717403,1,2,0.266712019486997,0,Auto,30,12,650783,82574,3446.16666666666,3,568209,0.2087265494836,2622.81690324522,0,41
07/22/2029,18,15414,557,Employed,0,13522,60,Other,1071,0.388248516475395,4,0,0.366332728182258,0,Auto,21,4,4875,111034,1284.5,6,1907,0.247160170814953,394.640489992152,0,59
07/23/2029,50,56366,646,Employed,30,22828,60,Own,247,0.534207201587182,8,1,0.249296776028902,0,Education,19,26,17246,83048,4697.16666666666,7,1427,0.174329786018304,572.662730468946,1,40
07/24/2029,39,69215,553,Employed,17,16240,36,Mortgage,439,0.149541817045384,3,3,0.517139988061964,0,Debt Consolidation,28,3,52195,24221,5767.91666666666,3,27974,0.232261506000857,630.561696654738,0,60
07/25/2029,54,20128,603,Unemployed,30,39882,36,Mortgage,257,0.366246601243687,4,2,0.210260633183184,0,Home,29,25,84846,9796,1677.33333333333,5,75050,0.251452282800386,1588.76629674927,0,52
07/26/2029,23,65440,599,Employed,0,15086,96,Own,497,0.644958001976042,4,0,0.0990390135084887,0,Debt Consolidation,25,13,66586,18617,5453.33333333333,2,47969,0.275123990221134,390.150485672158,0,52
07/27/2029,46,128765,525,Employed,22,13247,36,Mortgage,650,0.457755521849278,3,1,0.439769865338141,0,Home,18,17,61579,34218,10730.4166666666,4,27361,0.228934213860861,512.052113189226,1,44
07/28/2029,62,52765,604,Employed,42,30138,24,Rent,868,0.246133060813914,7,1,0.39621361438341,0,Home,22,13,46621,12843,4397.08333333333,2,33778,0.177634565854164,1501.17029534421,0,51
07/29/2029,45,94526,634,Employed,26,15800,24,Own,562,0.312843356188178,3,2,0.282940150022467,0,Debt Consolidation,20,20,87039,93194,7877.16666666666,6,1597,0.155088460869065,769.914367154404,1,43.2
07/30/2029,43,51912,583,Employed,20,16618,48,Rent,311,0.270441690553456,4,0,0.323618634763303,0,Auto,23,17,108632,10976,4326,8,97656,0.252168379532489,553.016842320789,0,52
07/31/2029,40,63838,613,Employed,20,34313,120,Rent,179,0.422553286937413,3,0,0.379963851592729,0,Debt Consolidation,21,7,77465,19069,5319.83333333333,11,58396,0.294187287504876,889.854800659796,0,51
08/01/2029,21,83833,568,Unemployed,0,21724,48,Mortgage,312,0.257104820627904,5,3,0.415118502729162,0,Home,18,1,55912,54991,6986.08333333333,6,9477,0.240130205379267,708.398658501598,0,62
08/02/2029,56,22915,619,Employed,32,19122,60,Mortgage,288,0.20438463802652,4,1,0.153100183911565,0,Home,27,18,51199,244787,1909.58333333333,2,7763,0.204361444117498,511.267678875153,0,49
08/03/2029,32,33837,571,Employed,9,38790,36,Mortgage,313,0.243962243494411,4,1,0.189024967852197,0,Home,27,17,51263,56591,2819.75,7,4232,0.220791518344612,1482.99650976841,0,51
08/04/2029,46,99640,554,Employed,25,5008,24,Mortgage,516,0.421530578608741,2,0,0.188780317839558,0,Home,25,18,124512,17987,8303.33333333333,4,106525,0.188823185159072,252.160111507816,1,41.6
08/05/2029,21,98488,518,Employed,0,24175,48,Mortgage,209,0.242508387737009,2,0,0.098140714801048,0,Education,25,4,12897,6781,8207.33333333333,3,6116,0.280017241962691,842.574492988653,0,52
08/06/2029,25,18259,619,Employed,1,22297,48,Mortgage,405,0.384794987329983,5,2,0.740600802966657,0,Auto,31,4,29543,40140,1521.58333333333,5,6809,0.19568090736146,673.385421063832,0,60
08/07/2029,57,102992,559,Employed,34,49027,36,Mortgage,740,0.123918192634468,3,2,0.488326404826191,0,Education,19,8,27380,8997,8582.66666666666,6,18383,0.254063781687929,1959.85773418055,0,55
08/08/2029,35,15000,617,Employed,15,58896,96,Rent,254,0.153124866153328,2,0,0.44014995265681,0,Auto,30,20,125969,23469,1250,5,102500,0.307647963797749,1655.67251363334,0,50
08/09/2029,57,71833,581,Employed,38,26234,60,Mortgage,418,0.280008655701612,4,2,0.676127361525314,0,Home,24,10,347872,45465,5986.08333333333,5,302407,0.245691889128429,763.390836764456,1,41.6
08/10/2029,39,60903,515,Self-Employed,13,15803,60,Own,140,0.530877568378085,3,4,0.349010721933356,0,Auto,22,1,12735,206044,5075.25,4,2303,0.248059259927725,462.04264338411,1,49.6
08/11/2029,18,25817,602,Employed,0,24743,60,Rent,403,0.248127712929366,1,2,0.712272311763322,0,Debt Consolidation,24,3,63171,49083,2151.41666666666,6,14088,0.237420408183286,708.105855155421,0,60
08/12/2029,50,32535,549,Employed,26,38892,24,Rent,192,0.311088610373798,4,1,0.232116264928101,0,Debt Consolidation,23,15,50185,15289,2711.25,7,34896,0.26258574719112,2100.36510494375,0,53
08/13/2029,32,26865,588,Employed,6,17577,36,Other,592,0.161778189317253,2,1,0.230943596687199,0,Home,26,25,43804,17565,2238.75,1,26239,0.233705917221415,683.800494863932,0,59
08/14/2029,48,35076,575,Employed,25,7841,60,Mortgage,226,0.342427398062102,5,0,0.496015929225214,0,Debt Consolidation,24,1,313059,49508,2923,3,263551,0.219387932163674,216.287109314343,1,44
08/15/2029,40,200273,626,Employed,19,32217,36,Mortgage,444,0.275396442974873,5,1,0.0851585350244629,0,Home,24,8,39038,29819,16689.4166666666,2,9219,0.194495532373704,1188.28250103905,1,36.8
08/16/2029,21,60759,578,Employed,1,7534,48,Own,133,0.406647606940228,3,0,0.361530125332637,0,Home,32,24,36798,14240,5063.25,3,22558,0.241917887968624,246.421723732211,0,55
08/17/2029,41,138655,578,Employed,21,63013,60,Mortgage,199,0.342184982488609,5,3,0.245571254396365,0,Education,28,14,36453,8506,11554.5833333333,5,27947,0.267643058050001,1915.2557119493,0,56
08/18/2029,66,49523,612,Employed,43,24922,24,Rent,258,0.250241417642013,2,2,0.253261918310932,0,Other,33,3,55075,37805,4126.91666666666,7,17270,0.19465054362845,1261.92181180249,0,53
08/19/2029,45,48150,510,Employed,20,5176,24,Rent,675,0.268653968719715,4,1,0.337683891986618,0,Home,27,3,16612,311494,4012.5,3,6164,0.202103636205809,263.968898481582,0,58
08/20/2029,39,25799,577,Employed,17,19637,60,Rent,386,0.0347398540026031,2,2,0.0622684649317301,0,Debt Consolidation,27,11,52433,28080,2149.91666666666,3,24353,0.222247827490421,544.865242838285,0,51
08/21/2029,52,48002,639,Employed,31,12537,72,Mortgage,186,0.090381565606449,6,1,0.492766219297421,0,Home,22,4,43684,23619,4000.16666666666,7,20065,0.243895200751673,333.030254464683,0,56
08/22/2029,42,36467,589,Employed,18,10715,60,Own,227,0.501140654445108,3,0,0.125573200316754,1,Debt Consolidation,24,23,146997,14307,3038.91666666666,5,132690,0.195700135412599,281.32448358514,0,60
08/23/2029,42,61794,603,Employed,21,9819,24,Mortgage,769,0.208443359562316,0,1,0.435723267321328,0,Debt Consolidation,27,29,56327,13130,5149.5,8,43197,0.170520713197278,485.719299210032,1,42.4
08/24/2029,26,26592,579,Employed,3,13458,48,Own,160,0.19250418220445,4,0,0.317997395479744,0,Other,28,11,88768,6519,2216,4,82249,0.216952732485707,421.785510045327,0,53
08/25/2029,42,29990,548,Employed,19,60597,48,Mortgage,546,0.282310742993593,4,2,0.358024105664687,0,Debt Consolidation,38,3,11592,67684,2499.16666666666,8,7987,0.251447230955121,2014.11688316505,0,65
08/26/2029,52,74641,535,Self-Employed,30,13354,24,Rent,324,0.169340602747033,4,2,0.00407778420005258,0,Other,15,25,388440,17648,6220.08333333333,4,370792,0.236065089472481,703.420699569088,1,36.8
08/27/2029,29,47186,593,Employed,7,8745,60,Own,479,0.229005855396399,3,0,0.0635038423367863,0,Debt Consolidation,19,12,14467,16642,3932.16666666666,5,10552,0.210763609419456,236.957427688901,1,40.8
08/28/2029,57,39758,618,Employed,31,10748,36,Mortgage,235,0.297845360206208,4,1,0.205765892448054,0,Auto,19,25,15546,205715,3313.16666666666,2,1859,0.154793697406512,375.110980994307,1,44.8
08/29/2029,38,29782,611,Unemployed,14,42209,48,Rent,283,0.132669814212252,2,1,0.234868550678232,0,Other,20,2,228228,21035,2481.83333333333,5,207193,0.207820861931641,1302.08884881666,0,53
08/30/2029,29,31300,554,Employed,4,17522,48,Rent,132,0.330163385425511,3,0,0.285799186077832,0,Other,18,8,10866,5062,2608.33333333333,7,5804,0.199823916156264,533.036437488714,0,54
08/31/2029,51,94061,607,Employed,30,23276,48,Rent,955,0.514266871537165,2,2,0.595010754737842,0,Home,24,22,28512,88057,7838.41666666666,4,8903,0.22996892774696,745.990427052169,1,44
09/01/2029,36,53415,531,Employed,11,9287,36,Own,312,0.285167505663144,3,0,0.26869973881884,0,Auto,26,2,27203,2378,4451.25,3,24825,0.217793764591198,353.61564238014,1,44.8
09/02/2029,49,29162,568,Employed,25,36297,60,Other,589,0.372681595032368,2,1,0.154610760335446,0,Debt Consolidation,19,28,51406,94448,2430.16666666666,4,3054,0.285858027171643,1142.99895723574,0,52
09/03/2029,36,27122,560,Employed,16,9856,36,Other,219,0.247666786246264,4,2,0.159414012739102,0,Education,28,28,35456,18498,2260.16666666666,5,16958,0.212098563057666,372.388276651697,0,52
09/04/2029,39,23030,620,Employed,15,25519,96,Mortgage,444,0.29016721442578,5,1,0.191289276218375,0,Debt Consolidation,28,26,165666,56647,1919.16666666666,0,109019,0.275265776615266,660.212668378794,0,45
09/05/2029,45,43423,623,Employed,24,12894,48,Mortgage,588,0.433597799413439,3,1,0.597104715724577,1,Debt Consolidation,20,9,41470,23266,3618.58333333333,6,18204,0.184192012435394,381.591530669473,0,70
09/06/2029,43,48411,579,Employed,24,6631,24,Rent,285,0.165858035732826,2,0,0.235541682982529,0,Other,25,7,24099,7277,4034.25,6,16822,0.184409833195705,332.461334925581,1,42.4
09/07/2029,18,30794,381,Self-Employed,0,19868,48,Mortgage,378,0.423293247849073,2,3,0.270445701232664,0,Other,32,18,263752,3448,2566.16666666666,4,260304,0.345923363359372,769.394245544106,0,51
09/08/2029,26,161218,476,Employed,2,8633,60,Mortgage,436,0.260717731996877,5,1,0.4937690073638,0,Auto,26,7,125699,77944,13434.8333333333,5,47755,0.289551742739747,273.792017822347,1,48.8
09/09/2029,51,83078,617,Self-Employed,28,33001,36,Rent,339,0.304019765076616,5,0,0.415903808268261,0,Home,11,17,91985,24842,6923.16666666666,0,67143,0.23447216102924,1285.16447502743,0,53
09/10/2029,38,49821,500,Employed,16,16360,12,Own,320,0.612491841481229,3,0,0.211704945566707,0,Education,25,18,167834,19463,4151.75,7,148371,0.245330569728728,1551.21845582467,0,51
09/11/2029,33,42635,450,Employed,11,10964,24,Other,268,0.276159712756824,5,2,0.381764810541291,0,Home,23,21,28939,15173,3552.91666666666,2,13766,0.278458367515159,600.936529023167,0,55
09/12/2029,23,17650,436,Unemployed,0,38893,36,Rent,398,0.220105842837642,3,0,0.428365470950575,1,Home,32,16,352037,31577,1470.83333333333,9,320460,0.309429912549451,1671.22122148135,0,67
09/13/2029,27,26578,570,Employed,7,22614,60,Mortgage,403,0.138403214989299,3,1,0.211727687776263,0,Auto,21,25,237059,55799,2214.83333333333,3,181260,0.247365768999709,660.262968209884,0,49
09/14/2029,18,108993,433,Employed,0,25297,60,Mortgage,391,0.708824009499778,4,1,0.0682728094038624,0,Debt Consolidation,23,10,39114,5955,9082.75,4,33159,0.288822830308572,801.162107785173,1,40.8
09/15/2029,38,143895,594,Employed,15,18026,72,Mortgage,236,0.105835590767187,2,1,0.495076699209227,0,Auto,19,4,202989,26910,11991.25,5,176079,0.22480748847929,458.081714762729,1,41.6
09/16/2029,32,15000,627,Employed,11,16312,60,Mortgage,476,0.254331322651872,2,3,0.108329455278849,0,Debt Consolidation,30,7,68449,28713,1250,7,39736,0.220565075976211,451.043927579932,0,50
09/17/2029,28,45681,572,Employed,6,22003,12,Rent,240,0.537051710406539,1,0,0.0456296621340859,0,Home,20,15,118541,7137,3806.75,8,111404,0.212705169367714,2051.64011597553,0,48
09/18/2029,39,92930,602,Employed,19,26942,48,Rent,253,0.239563321287816,3,2,0.0554509283568156,0,Education,27,4,76211,9924,7744.16666666666,3,66287,0.219597542478693,848.248196836389,0,47
09/19/2029,44,48783,589,Self-Employed,23,11515,120,Rent,305,0.0790822582076612,3,5,0.440248462915542,0,Other,18,1,117465,17561,4065.25,6,99904,0.31634556682519,317.547236566852,0,61
09/20/2029,65,156563,589,Unemployed,43,23330,60,Mortgage,505,0.123912302703652,3,2,0.33081645361413,0,Other,20,9,22921,36735,13046.9166666666,5,10204,0.216734001970196,640.024460955314,1,48.8
09/21/2029,21,53240,557,Employed,2,17457,48,Mortgage,528,0.158670839854909,3,0,0.210184689336157,0,Home,23,24,89826,4457,4436.66666666666,6,85369,0.2106665409057,541.194181115431,0,49
09/22/2029,53,65853,521,Employed,29,29356,24,Other,408,0.168009236157982,3,1,0.480558737244038,0,Education,24,11,275666,7813,5487.75,6,267853,0.273516788054849,1601.6245955426,0,55
09/23/2029,51,52754,641,Self-Employed,30,24809,36,Mortgage,287,0.307995154445628,3,1,0.166785535734329,0,Debt Consolidation,24,19,29410,22668,4396.16666666666,8,6742,0.197161629806609,918.407318591295,0,50
09/24/2029,30,47747,628,Employed,10,44341,60,Mortgage,306,0.310508279453857,1,2,0.409261161148718,1,Debt Consolidation,26,13,109589,9516,3978.91666666666,7,100073,0.202616691116687,1181.23051955946,0,62
09/25/2029,42,33154,532,Employed,22,45412,48,Mortgage,386,0.450733134712094,7,0,0.707839335694019,0,Home,19,8,87382,6008,2762.83333333333,7,81374,0.254717899141515,1517.70576478972,0,59
09/26/2029,34,47347,580,Unemployed,7,14141,84,Mortgage,351,0.234793381992017,2,1,0.109514165460708,0,Home,18,5,18929,82509,3945.58333333333,7,10090,0.263251228363035,369.999227342839,0,56
09/27/2029,42,56992,587,Unemployed,23,23130,12,Rent,233,0.368327772366899,4,1,0.0368032535318959,0,Debt Consolidation,18,4,43212,30462,4749.33333333333,4,12750,0.229092460453589,2174.97237645732,0,56
09/28/2029,58,47201,565,Self-Employed,35,44724,48,Mortgage,213,0.332519959534625,2,2,0.296860817745382,1,Debt Consolidation,27,2,108766,152536,3933.41666666666,3,9199,0.240648732597525,1459.68894869928,0,72
09/29/2029,47,21556,607,Employed,26,12377,48,Mortgage,250,0.205597067570387,3,0,0.525339022068345,0,Home,23,2,66323,55146,1796.33333333333,7,11177,0.220495537539649,390.283773546649,0,61
09/30/2029,46,49482,644,Employed,24,17093,36,Rent,303,0.190907316987131,2,0,0.235905339558254,0,Home,14,21,94289,18098,4123.5,3,76191,0.180005025046389,617.957205724823,1,37.6
10/01/2029,34,21803,492,Employed,10,32479,48,Own,145,0.229200577756855,2,2,0.0256421954833732,0,Education,30,4,10252,6332,1816.91666666666,4,3920,0.2251832,1032.44710703352,0,55
10/02/2029,22,18325,528,Unemployed,0,9668,48,Other,300,0.239367587687274,2,1,0.0622818868116616,0,Home,17,5,74950,16167,1527.08333333333,1,58783,0.263610072224553,327.945591864452,0,55
10/03/2029,37,26586,617,Employed,16,22435,84,Own,390,0.151659470575139,5,0,0.44137204661095,0,Debt Consolidation,20,25,141943,27182,2215.5,9,114761,0.245345782836391,561.207569807102,0,50
10/04/2029,54,79705,623,Employed,34,20282,60,Rent,275,0.268571275805371,2,1,0.34165253985477,0,Home,34,26,70655,15210,6642.08333333333,9,55445,0.194614290926221,531.289166397043,1,39.2
10/05/2029,21,24854,523,Employed,0,34271,60,Own,99,0.127229507632187,4,0,0.175298249792103,0,Debt Consolidation,26,28,15235,1745,2071.16666666666,5,13490,0.279024909145434,1065.040598986,0,51
10/06/2029,27,21661,534,Employed,3,11928,48,Other,746,0.307441315254385,2,0,0.231978714476168,0,Debt Consolidation,39,7,41538,30216,1805.08333333333,2,11322,0.236483872168631,386.559720081796,0,55
10/07/2029,41,57436,561,Employed,19,46898,36,Mortgage,231,0.100780189060082,4,3,0.369201261427871,0,Debt Consolidation,26,25,100494,32729,4786.33333333333,4,67765,0.234088248760974,1825.41671190282,0,57
10/08/2029,28,26732,570,Employed,5,23488,60,Mortgage,363,0.371302342138956,3,1,0.208569239856323,0,Education,16,6,82615,5085,2227.66666666666,3,77530,0.244650920879639,682.05760369373,0,54
10/09/2029,30,20341,584,Employed,8,34080,120,Rent,621,0.146165730452612,5,0,0.10316470973443,0,Education,22,29,24884,2086,1695.08333333333,3,22798,0.284210485650408,858.922463397657,0,51
10/10/2029,34,70555,614,Employed,13,19079,60,Mortgage,409,0.365819094351363,2,3,0.199942367846933,0,Home,33,26,46855,21013,5879.58333333333,8,25842,0.237640931856571,546.254660018305,0,47
10/11/2029,23,40010,536,Employed,0,9156,60,Rent,306,0.152377865195988,6,2,0.457810764406913,0,Home,33,11,28260,12352,3334.16666666666,9,15908,0.238338395048593,262.517177674145,0,56
10/12/2029,28,40509,535,Employed,4,41024,72,Mortgage,604,0.564769315256382,1,0,0.0687961165872606,0,Home,22,29,25935,87503,3375.75,6,9696,0.265655995040347,1144.80602377983,0,52
10/13/2029,48,45597,574,Self-Employed,25,30275,12,Rent,399,0.154362337394694,4,0,0.350396692328733,0,Debt Consolidation,21,27,62181,66178,3799.75,6,2909,0.223419004735168,2838.55389346545,0,57
10/14/2029,24,54822,592,Self-Employed,0,10761,48,Mortgage,199,0.450178977044301,4,0,0.0570842542624747,0,Home,21,26,20849,8935,4568.5,4,11914,0.210503141526407,333.513128446885,1,43.2
10/15/2029,20,75015,533,Employed,0,18184,60,Rent,241,0.161643619317336,0,2,0.318189105409642,0,Auto,20,12,51420,56279,6251.25,3,1987,0.244836342747466,528.233744587371,0,53
10/16/2029,32,35673,560,Employed,6,28653,24,Own,291,0.546103626311624,2,2,0.136736704430679,0,Education,21,26,44954,9133,2972.75,6,35821,0.220770654834866,1487.55544212297,0,52
10/17/2029,48,23430,523,Employed,26,46965,108,Mortgage,889,0.173961697599463,2,0,0.194866415342313,0,Auto,20,12,55969,19642,1952.5,3,36327,0.344302625191218,1414.14601417164,0,51
10/18/2029,37,50939,591,Employed,15,38042,60,Rent,343,0.308385672417475,7,2,0.112137365933644,0,Education,19,4,249560,94442,4244.91666666666,4,155118,0.205738963290368,1020.06648497795,0,49
10/19/2029,34,37667,558,Employed,14,17255,96,Own,288,0.402130755262723,2,1,0.408966693145009,0,Debt Consolidation,25,29,120684,36068,3138.91666666666,6,84616,0.317517109884672,497.076490896551,0,56
10/20/2029,40,90665,605,Employed,18,22948,72,Mortgage,418,0.247802720231664,4,1,0.188718972779642,0,Auto,24,27,486523,30084,7555.41666666666,6,456439,0.247505318340267,614.646144222131,1,32
10/21/2029,19,22049,566,Employed,0,15966,120,Other,342,0.288417086599735,3,1,0.231692746620831,0,Home,16,24,168477,15379,1837.41666666666,6,153098,0.273732921209532,390.257199131381,0,56
10/22/2029,45,43673,563,Employed,21,17554,48,Own,196,0.117065081068904,5,3,0.202228026469674,0,Debt Consolidation,28,25,188019,3936,3639.41666666666,7,184083,0.247138683450921,579.242336942803,0,48
10/23/2029,44,22409,574,Unemployed,18,25098,72,Own,430,0.375863058470431,6,2,0.564459971831266,0,Other,21,7,37919,10311,1867.41666666666,3,27608,0.279351144412311,721.963120504337,0,64
10/24/2029,35,72949,594,Employed,11,46808,36,Other,260,0.171931103470194,1,1,0.0791510443059457,0,Debt Consolidation,25,12,23675,50206,6079.08333333333,4,7025,0.233908378010812,1821.47351051181,0,49
10/25/2029,52,95914,630,Employed,29,6628,12,Mortgage,338,0.159706311499039,4,1,0.12529332379195,0,Debt Consolidation,27,2,34089,4788,7992.83333333333,8,29301,0.177699221362765,606.929481798472,1,39.2
10/26/2029,26,35214,564,Employed,4,15568,24,Mortgage,396,0.113906995268016,2,2,0.136006240546935,0,Auto,27,23,76160,16761,2934.5,8,59399,0.212781901117634,802.100635094947,0,48
10/27/2029,53,33872,560,Employed,32,28869,60,Mortgage,222,0.696010618427929,3,1,0.155897506481323,0,Auto,28,10,70202,8089,2822.66666666666,2,62113,0.216196112787665,791.099246953152,0,51
10/28/2029,41,35543,637,Employed,17,59192,96,Mortgage,402,0.532793947338915,2,2,0.0979759035583253,0,Home,19,22,77513,8078,2961.91666666666,8,69435,0.330830399999999,1761.28561713348,0,47
10/29/2029,35,22761,533,Employed,11,11901,48,Own,680,0.443761136696126,1,2,0.265479380981095,0,Education,26,4,41116,10415,1896.75,3,30701,0.276785048526658,412.589010075815,0,64
10/30/2029,39,69077,578,Employed,19,15283,96,Rent,584,0.16557112760068,1,1,0.664356671723996,0,Auto,30,7,94741,27247,5756.41666666666,2,67494,0.258782101421931,378.376104439867,0,56
10/31/2029,38,28801,492,Employed,14,11501,36,Mortgage,287,0.276722674663184,3,0,0.338339792965846,0,Other,34,22,58177,26639,2400.08333333333,4,31538,0.261680305631356,464.412493366001,0,56
11/01/2029,54,52319,521,Employed,30,11636,48,Mortgage,547,0.283708622383567,2,1,0.201741219405027,0,Home,24,19,95046,45675,4359.91666666666,4,49371,0.239061605615174,378.751561391189,0,52
11/02/2029,27,51496,464,Employed,7,7620,60,Mortgage,628,0.515561892656641,2,0,0.394614221288912,0,Debt Consolidation,19,12,49284,104733,4291.33333333333,9,6807,0.291675428759772,242.650877361565,0,55
11/03/2029,30,59672,498,Unemployed,6,7449,48,Mortgage,452,0.455420802364752,3,2,0.556294720619222,0,Debt Consolidation,15,21,53746,27125,4972.66666666666,7,26621,0.254083481334322,248.687012958926,0,62
11/04/2029,52,57254,650,Employed,32,7415,24,Mortgage,163,0.157284471431149,3,1,0.304139134541103,0,Education,30,1,17247,18753,4771.16666666666,9,9440,0.157523905566021,362.184807277648,1,40.8
11/05/2029,32,96514,474,Employed,14,32837,36,Own,283,0.351586438748051,5,1,0.483954967907093,0,Home,35,2,14783,18083,8042.83333333333,6,10554,0.301709218048343,1397.05831256703,0,59
11/06/2029,50,158270,587,Employed,28,21626,36,Mortgage,272,0.0325268743346091,4,0,0.398490418257691,0,Debt Consolidation,21,4,154574,19780,13189.1666666666,6,134794,0.228411799244265,835.34734575529,1,40
11/07/2029,60,19060,577,Employed,37,11903,36,Rent,750,0.583105620232595,3,2,0.435820222693215,0,Debt Consolidation,26,6,96771,12083,1588.33333333333,6,84688,0.187377165397034,434.739766332495,0,59
11/08/2029,35,41208,548,Employed,13,19830,60,Mortgage,257,0.185900985860286,4,2,0.177827836755523,0,Education,24,22,147143,16081,3434,8,131062,0.252402045720531,584.832577695791,0,46
11/09/2029,48,44919,564,Employed,20,35496,36,Mortgage,203,0.110495297685054,3,1,0.0506835236126478,0,Home,13,25,83052,2575,3743.25,4,80477,0.223302269196318,1361.67984568762,0,48
11/10/2029,26,31662,513,Employed,3,80507,36,Mortgage,587,0.521657198585856,2,0,0.455022630486846,0,Other,21,9,110663,12064,2638.5,7,98599,0.34942790213469,3639.21174159807,0,57
11/11/2029,49,79384,591,Employed,26,24732,36,Rent,312,0.413117560220736,2,1,0.13798498594903,0,Home,23,20,73191,14695,6615.33333333333,4,58496,0.217741137234629,941.638610807971,1,39.2
11/12/2029,42,98184,607,Employed,19,18957,84,Mortgage,212,0.108915656253424,4,1,0.433137359120934,0,Debt Consolidation,32,16,47866,13240,8182,3,34626,0.231520461195959,457.665601565786,1,40.8
11/13/2029,45,17357,648,Employed,23,9333,36,Own,468,0.292797933950022,7,1,0.547572184494357,0,Home,29,10,383084,18662,1446.41666666666,6,364422,0.154911284149961,325.780674991097,1,40.8
11/14/2029,32,15000,563,Employed,8,14290,60,Rent,272,0.528960180048588,1,2,0.444767834244873,0,Auto,24,1,148300,156361,1250,5,7529,0.256818874476175,425.162244086259,0,69
11/15/2029,20,105112,537,Employed,0,24475,48,Mortgage,295,0.611313150709336,9,3,0.312936220099988,0,Home,32,4,52201,5258,8759.33333333333,5,46943,0.24034710450817,798.399652487051,0,64
11/16/2029,46,61286,663,Employed,23,7750,60,Mortgage,448,0.305788392958314,5,1,0.316041865994549,0,Auto,16,5,25339,14971,5107.16666666666,4,10368,0.182449984241999,197.833429891938,1,40
11/17/2029,18,45583,460,Unemployed,0,15087,60,Own,555,0.298211890551683,2,2,0.60268533376997,0,Debt Consolidation,26,3,68587,6159,3798.58333333333,4,62428,0.240015542861749,434.035911520662,0,63
11/18/2029,36,21787,490,Employed,17,18114,24,Rent,352,0.176322327315684,3,1,0.537577566632437,0,Debt Consolidation,22,2,475791,14165,1815.58333333333,3,461626,0.233716880068102,952.035996616542,0,57
11/19/2029,51,52687,601,Employed,30,27403,60,Mortgage,361,0.539688131887607,4,1,0.270818963281705,0,Debt Consolidation,14,25,20891,23596,4390.58333333333,6,8648,0.261050898177859,822.164413386089,0,50
11/20/2029,42,90012,564,Employed,19,22334,60,Mortgage,260,0.665613980026909,2,3,0.192700527252012,0,Education,18,17,32810,31652,7501,4,1158,0.294400799999999,714.918496089111,0,51
11/21/2029,63,107217,665,Unemployed,41,19659,48,Rent,584,0.613329134736191,2,0,0.223877479844884,0,Debt Consolidation,16,23,68201,32568,8934.75,10,35633,0.176529740461459,573.924342229006,1,40
11/22/2029,52,53104,510,Employed,29,24180,96,Other,244,0.211979796215041,3,1,0.105499625956412,0,Other,30,12,22237,20606,4425.33333333333,6,1631,0.304475733528388,674.365126598393,0,50
11/23/2029,32,17626,571,Employed,10,25550,60,Mortgage,687,0.339658647622368,7,5,0.123219703128737,0,Debt Consolidation,20,3,59152,12021,1468.83333333333,3,47131,0.262906331314821,769.381256385212,0,55
11/24/2029,40,83715,606,Employed,17,16055,36,Own,503,0.218331365820348,4,1,0.126977974675323,0,Debt Consolidation,23,11,210392,12300,6976.25,5,198092,0.175986529321315,577.199389349687,1,33.6
11/25/2029,39,56610,640,Employed,18,39070,48,Rent,573,0.28357079254032,0,2,0.109351772690743,0,Auto,26,12,53396,24303,4717.5,4,29093,0.197749721733691,1184.23504940514,0,47
